offspring,day
96,1
124,1
117,1
154,1
137,1
58,1
130,1
122,1
167,1
28,1
22,1
48,1
45,1
41,1
43,1
43,1
35,1
54,1
58,1
39,1
73,1
61,1
57,1
135,2
123,2
132,2
72,2
79,2
53,2
74,2
80,2
73,2
85,2
66,2
69,2
71,2
112,2
110,2
127,2
57,2
48,2
80,2
47,2
65,2
75,2
61,2
90,3
76,3
111,3
66,3
77,3
87,3
59,3
73,3
37,3
60,3
112,3
84,3
110,3
77,3
68,3
78,3
38,3
33,3
53,3
40,3
59,3
81,3
61,3
89,4
81,4
95,4
32,4
34,4
34,4
31,4
29,4
49,4
4,4
64,4
40,4
37,4
59,4
37,4
61,4
17,4
11,4
27,4
7,4
39,4
36,4
49,4
23,5
42,5
2,5
2,5
3,5
1,5
8,5
1,5
3,5
3,5
20,5
73,5
15,5
8,5
8,5
18,5
13,5
4,5
19,5
2,5
23,5
17,5
40,5
3,6
4,6
0,6
0,6
2,6
0,6
10,6
0,6
0,6
0,6
0,6
4,6
0,6
2,6
2,6
4,6
1,6
2,6
9,6
0,6
23,6
12,6
4,6
2,7
0,7
1,7
0,7
0,7
0,7
1,7
0,7
0,7
0,7
0,7
5,7
0,7
1,7
0,7
1,7
0,7
0,7
1,7
0,7
6,7
16,7
1,7
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
0,8
2,8
5,8
0,8
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
0,9
